method,method_disp,method_order,kind,circuit_label,circuit_idx,start,dur,end,offset,bar
FullCompilation,FullComp,0,run,QAOA-3reg_q15_d2,5,2.677587099999073,0.03720699999757926,2.714794099996652,2.677587099999073,0.03720699999757926
FullCompilation,FullComp,0,run,VQE-Full_q11_d4,15,2.714794099996652,0.0581034999959229,2.772897599992575,2.714794099996652,0.0581034999959229
FullCompilation,FullComp,0,run,QSIM-XXZ_q13_d6,35,2.772897599992575,0.07575960000394844,2.8486571999965236,2.772897599992575,0.07575960000394844
FullCompilation,FullComp,0,run,GHZ-Chain_q11_d8,36,2.8486571999965236,0.026400200000352925,2.8750573999968765,2.8486571999965236,0.026400200000352925
FullCompilation,FullComp,0,run,GHZ-Chain_q11_d2,37,2.8750573999968765,0.02240679999886197,2.8974641999957385,2.8750573999968765,0.02240679999886197
FullCompilation,FullComp,0,run,QSIM-XXZ_q7_d6,30,2.8974641999957385,0.038079299996752525,2.935543499992491,2.8974641999957385,0.038079299996752525
FullCompilation,FullComp,0,run,LinearEnt_q5_d2,38,2.935543499992491,0.024302400001033675,2.9598458999935247,2.935543499992491,0.024302400001033675
FullCompilation,FullComp,0,run,VQE-Full_q11_d2,28,2.9598458999935247,0.027636400001938455,2.987482299995463,2.9598458999935247,0.027636400001938455
FullCompilation,FullComp,0,run,QAOA-3reg_q13_d2,20,2.987482299995463,0.03727900000012596,3.024761299995589,2.987482299995463,0.03727900000012596
FullCompilation,FullComp,0,run,GHZ-Chain_q15_d8,39,3.024761299995589,0.027938100003666477,3.0526993999992555,3.024761299995589,0.027938100003666477
FullCompilation,FullComp,0,run,QSIM-XXZ_q7_d8,32,3.0526993999992555,0.07635870000012801,3.1290580999993836,3.0526993999992555,0.07635870000012801
FullCompilation,FullComp,0,run,RCA_q11_d4,40,3.1290580999993836,0.03941389999818057,3.168471999997564,3.1290580999993836,0.03941389999818057
FullCompilation,FullComp,0,run,LinearEnt_q11_d6,9,3.168471999997564,0.03975910000008298,3.208231099997647,3.168471999997564,0.03975910000008298
FullCompilation,FullComp,0,run,QAOA-3reg_q7_d8,41,3.208231099997647,0.04268500000034692,3.250916099997994,3.208231099997647,0.04268500000034692
FullCompilation,FullComp,0,run,VQE-Full_q11_d8,42,3.250916099997994,0.03412580000440357,3.2850419000023976,3.250916099997994,0.03412580000440357
FullCompilation,FullComp,0,run,LinearEnt_q5_d4,23,3.2850419000023976,0.03125419999923906,3.3162961000016367,3.2850419000023976,0.03125419999923906
FullCompilation,FullComp,0,run,VQE-Full_q11_d4,15,3.3162961000016367,0.03769519999696058,3.3539912999985972,3.3162961000016367,0.03769519999696058
FullCompilation,FullComp,0,run,QAOA-3reg_q13_d2,20,3.3539912999985972,0.04858299999978044,3.4025742999983777,3.3539912999985972,0.04858299999978044
FullCompilation,FullComp,0,run,QSIM-XXZ_q13_d6,35,3.4025742999983777,0.13275470000007772,3.5353289999984554,3.4025742999983777,0.13275470000007772
FullCompilation,FullComp,0,run,QSIM-XXZ_q7_d8,32,3.5353289999984554,0.06436939999912283,3.5996983999975782,3.5353289999984554,0.06436939999912283
FullCompilation,FullComp,0,run,RCA_q7_d4,43,3.5996983999975782,0.037822700000106124,3.6375210999976844,3.5996983999975782,0.037822700000106124
FullCompilation,FullComp,0,run,GHZ-Chain_q5_d2,17,3.6375210999976844,0.033235599996260135,3.6707566999939445,3.6375210999976844,0.033235599996260135
FullCompilation,FullComp,0,run,QSIM-XXZ_q13_d6,35,3.6707566999939445,0.06935750000047847,3.740114199994423,3.6707566999939445,0.06935750000047847
FullCompilation,FullComp,0,run,LinearEnt_q5_d4,23,3.740114199994423,0.03242619999946328,3.7725403999938862,3.740114199994423,0.03242619999946328
FullCompilation,FullComp,0,run,VQE-Full_q11_d4,15,3.7725403999938862,0.3058587000014086,4.078399099995295,3.7725403999938862,0.3058587000014086
FullCompilation,FullComp,0,run,VQE-Full_q7_d4,26,4.078399099995295,0.07887549999941257,4.157274599994707,4.078399099995295,0.07887549999941257
FullCompilation,FullComp,0,run,RCA_q15_d2,33,4.157274599994707,0.06589830000302754,4.223172899997735,4.157274599994707,0.06589830000302754
FullCompilation,FullComp,0,run,LinearEnt_q15_d8,44,4.223172899997735,0.12236750000010943,4.345540399997844,4.223172899997735,0.12236750000010943
FullCompilation,FullComp,0,run,VQE-Full_q7_d4,26,4.345540399997844,0.06783429999632062,4.413374699994165,4.345540399997844,0.06783429999632062
FullCompilation,FullComp,0,run,QFT-Like_q15_d6,45,4.413374699994165,0.21619540000028792,4.629570099994453,4.413374699994165,0.21619540000028792
